keys,fr,en
START_GAME,Jouer,Play
WIKI_MENU,Wiki,Wiki
QUIT_GAME,Quitter,Quit
HEALTH,Santé,Health
HUNGER,Faim,Hunger
PAUSE_MENU,PAUSE,PAUSE
RESUME_GAME,Continuer,Resume
BACK_TO_MAIN_MENU,Menu principal,Back to main menu
DASH_ACTION,Bondir,Dash
MOVE_ACTION,Bouger,Move
EXTINCT_LABEL,Extinction,You went extinct
TROPHY_0_NAME,Meq-quoi?,Meg-what?
TROPHY_0_DESC,On ne retrouvera pas votre fossile... Essayer encore!,You won't go down the fossil record... Try again!
TROPHY_1_NAME,Meg-aneura,Meg-aneura
TROPHY_1_DESC,Seuls les paléontologistes les plus spécialistes connaissent votre lignée.,Only the most specialized paleontologists know the name of your lineage.
TROPHY_2_NAME,Meg-atherium,Meg-atherium
TROPHY_2_DESC,On ne retrouvera pas votre fossile... Essayer encore!,Your lineage is known enough to have its Wikipedia page!
TROPHY_3_NAME,"Meg-alodon","Meg-alodon"
TROPHY_3_DESC,"Des enfants sur toutes la planète veulent déterrer un de vos fossiles. Bon travail",Kids all over the planet want to dig out your fossils. Good job!
TROPHY_4_NAME,"Meg-alosaure","Meg-alosaurus"
TROPHY_4_DESC,"Tout le monde sait ce qu'est un Megacricetodon. Vous êtes super !","At this point, everybody knows what a Megacricetodon is. You're amazing!"
TROPHY_5_NAME,"O-MEG-A","O-MEG-A"
TROPHY_5_DESC,"Bienvenue dans la liste des espèces existantes ! Survivrez vous à l'anthropocène ?","Welcome to the realm of extant species! Will you survive the Anthropocene?"
SIZE_MICRO,Micro,Micro
SIZE_VERY_SMALL,Très petit,Very small
SIZE_SMALL,Petit,Small
SIZE_MEDIUM_SMALL,Assez petit,Medium small
SIZE_MEDIUM,Moyen,Moyen
SIZE_MEDIUM_LARGE,Moyen grand,Medium large
SIZE_LARGE,Grand,Grand
SIZE_VERY_LARGE,Très grand,Very large
SIZE_MEGA,Mega,Mega
SIZE_COLOSSAL,Colossal,Colossal
EVOLUTION_NANISM,Nanisme,Nanism
EVOLUTION_NANISM_DESC,"Votre lignée est plus petite. Vos besoins en nourriture sont réduits mais vous avez plus de prédateurs","You become smaller. Your food needs are reduced but more animals are predators to you."
EVOLUTION_GIGANTISM,Gigantisme,Gigantism
EVOLUTION_GIGANTISM_DESC,"Votre lignée est plus grande. Vos besoins en nourriture augmentent mais vous avez plus de proies","You become bigger. Your food needs are increased and you can predate more animals."
EVOLUTION_CARNIVORE,Carnivore,Carnivore
EVOLUTION_CARNIVORE_DESC,"Votre lignée devient carnivore. Vous obtenez plus de nutriments de la viande mais vous ne pouvez plus manger de plantes","You become carnivore. You get better benefits from eating meat but cannot eat plants."
EVOLUTION_HERVIBORE,Herbivore,Herbivore
EVOLUTION_HERBIVORE_DESC,"Votre lignée devient herbivore. Vous obtenez plus de nutriments des plantes mais vous ne pouvez plus manger de viande","You become herbivore. You get better benefits from eating plants but cannot eat meat."
EVOLUTION_OMNIVORE,Omnivore,Omnivore
EVOLUTION_OMNIVORE_DESC,"Votre lignée devient omnivore. Vous mangez de tout mais vous en tirez moins de nutriments","You become smaller. Your food needs are reduced but more animals are predators to you."
EVOLUTION_STURDY,Résistance,Sturdy
EVOLUTION_STURDY_DESC,"Votre lignée devient plus résistant. Votre santé maximale augmente d'un point","You become sturdier. You gain one more maximum hitpoint."
EVOLUTION_AGILITY,Agilité,Agility
EVOLUTION_AGILITY_DESC,"Votre lignée devient plus agile. Vous pouvez bondir plus souvent","Your movements are sharper, your dash cooldown is reduced"
EVOLUTION_FANG,Crocs,Fangs
EVOLUTION_FANG_DESC,"Vos dents deviennent plus grande. Bondir augmente temporairement votre taille d'un cran supplémentaire.","Your tooth become bigger, during your dash, you gain a temporary size."
EVOLUTION_LIGHTNESS,Légéreté,Lightness
EVOLUTION_LIGHTNESS_DESC,"La structure osseuse de votre lignée s'allège, vous devenez plus rapide","Your frame is lighter, you become faster"
EVOLUTION_HEAVYNESS,Lourdeur,Heavyness
EVOLUTION_HEAVYNESS_DESC,"La structure osseuse de votre lignée s'alourdit, vous devenez plus lent","Your frame becomes heavier, you become slower"
EVOLUTION_COAT,Pelage,Coat
EVOLUTION_COAT_DESC,"La couleur de votre pelage a évolué. Ce n'est peut-être pas celle que vous souhaitez mais c'est celle que vous avez. Arborez-la fièrement !","Your coat evolved, maybe it is not the best color, but it is who you are now. Be proud of it !"
EVOLUTION_THROW,Lancer,Throw
